DP projectid....	PG num	LCCN
projectID3fbbb7af17c3c	10323	10010700
projectID3f9e068fc78b1	10327	21019395
projectID3f9e0711d8a65	10327	21019395
projectID3fac34d099271	10333	16010488
projectID3fc3bb22772a9	10335	04003707
projectID3fa1d7a88810c	10337	95118753
projectID3f9be8c2420f7	10340	04016157
projectID3f9dcda006ae5	10341	05007599
projectID3fa57a89db13a	10355	04019928
projectID3fa57abbbb551	10356	04019928
projectID3f9785e1178aa	10358	05023032
projectID3f9785eeac766	10358	05023032
projectID3f91bbffa5224	10368	99004700
projectID3fb66fb5b4028	10370	07033325
projectID3fc3cfdfdb133	10371	17015545
projectID3facffbabb55b	10373	19015735
projectID3fc7dcc915518	10374	20007723
projectID3fb3c9fa3c61b	10376	21021358
projectID3fb66fee10701	10387	07033332
projectID3f9a22cbb1583	10391	85891014
projectID3f9a243f19fa0	10391	85891014
projectID3fc4bdfcc9fb1	10392	05005949
projectID3fcbe6fe68533	10394	07018095
projectID3fcf880e91d52	10396	07025662
projectID3fad4b44d8b9f	10397	06034368
projectID3fad4b7623f71	10397	06034368
projectID3fc5a2a75e922	10398	13005598
projectID3fc80b8d01c93	10401	14019577
projectID3fd27aeb329d1	10402	12006862
projectID3fa35eb90b8db	10410	08002614
projectID3fa35f6fcc6d3	10410	08002614
projectID3f9ef9ca37a73	10417	unk82059544
projectID3fccde0bd8a22	10418	11029082
projectID3fd145f98f631	10429	21019675
projectID3fb9f1a2ec29a	10431	11021103
projectID3fbef51d01c9e	10436	22000476
projectID3fd2274fe4d6b	10437	17022912
projectID3fcf645ddb131	10438	17010164
projectID3f9d9d1376fa1	10439	07028615
projectID3fd26cc8c9fbc	10440	20006289
projectID3fa9e8f2cedfd	10441	10009851
projectID3fa9e9a9bb562	10441	10009851
projectID3fc7cc686ac6e	10443	22007438
projectID3f9f40797bdb1	10445	04013624
projectID3fd3b31501c9d	10447	11000958
projectID3fc433e6e2665	10448	74212908
projectID3fd3b457b8e46	10457	13026674
projectID3f9f0af66371a	10464	11006642
projectID3fbdadaad14ed	10469	a  12000792
projectID3fa940723c61a	10471	41005642
projectID3fc8c672db125	10474	17031650
projectID3fd256d8a07a6	10477	03006173
projectID3fd4a053b8e46	10478	03006173
projectID3fa5634e1f151	10481	71278620
projectID3fd4a7e9a7cdf	10484	03006178
projectID3fa427d2bb57f	10485	13015248
projectID3fa5211bb4028	10491	09030867
projectID3f961647d5f8e	10496	21009710
projectID3f961689ebefa	10496	21009710
projectID3f95882bb8aac	10506	28015920
projectID3fd5530f28d99	10508	08028060
projectID3fa5cbd5e4d6f	10509	16004391
projectID3fa5cc61b402c	10509	16004391
projectID3fa5cceedff51	10509	16004391
projectID3fca4ea0c78ac	10515	18016731
projectID3f8d3fb4cc32d	10519	07009472
projectID3fd6159280bd1	10522	03006178
projectID3fd6170b1f151	10531	03006178
projectID3fd66f79c5199	10532	03006178
projectID3fd671069b9d4	10533	03006178
projectID3fcf518dc9fbe	10534	15011000
projectID3f8722027ba1c	10537	09014415
projectID3fa55820ec29d	10541	10004577
projectID3faded6806ab2	10542	75028855
projectID3fbdae48721a6	10557	w  10000005
projectID3fd524578810a	10575	21011495
projectID3fdded46573d4	10579	ltf91077139
projectID3fb7b0c7a2eb8	10580	06039000
projectID3f95eed0d385c	10585	01020325
projectID3fe985b06f625	10586	69014775
projectID3fb5da2906ab9	10588	14002329
projectID3faef7f48810a	10589	18010171
projectID3fa879cb65e28	10592	89003616
projectID3fa880de54cb9	10593	17028078
projectID3fdf8973d6333	10599	20017180
projectID3fc13901e0292	10601	84024641
projectID3fc1396c4d78d	10601	84024641
projectID3ff2266f76534	10603	ltf90029950
projectID3fa87afce2663	10605	87026428
projectID3fb86b204b080	10607	16015134
projectID3fb6a3213515f	10608	03005535
projectID3fb5d914832eb	10611	84233329
projectID3fae984594463	10613	13019047
projectID3fc80cba88123	10619	02002209
projectID3fb13bf2a55d8	10624	97029663
projectID3fdf2f4843b55	10627	03006178
projectID3fad2cc3859f9	10629	10001474
projectID3fc60a8d3ed2d	10632	17025070
projectID3f9aa4717e143	10633	02019713
projectID3f808ebdd126c	10635	unk83073046
projectID3fc7e22e48972	10637	05006434
projectID3f992799bb1c6	10638	04023117
projectID3fb44bbd61006	10639	10030052
projectID3fcd3fa8a07ae	10642	22005294
projectID3fd3c59585a0c	10658	11024362
projectID3fb13c7101ca1	10659	97029663
projectID3fc4475f28d9c	10662	75028858
projectID3fc447f5f10f3	10662	75028858
projectID3fde3ce49e0a5	10665	03015210
projectID3fafe0f668538	10668	15021975
projectID3f91c2b0bd9ed	10674	22000331
projectID3fdd54dfaa403	10675	17017652
projectID3fe3a60c285ee	10679	08030224
projectID3f97ea496a8c0	10685	20019084
projectID3ff8844a90793	10696	30012327
projectID3fdbee8a54cbe	10707	10023938
projectID3ff6530f45d69	10709	75032782
projectID40f851d50b2e0	10713	19025949
projectID3ffb0945e1d87	10714	39019488
projectID3ffb1030d814a	10715	39019488
projectID3fe3a852c22dc	10716	15003060
projectID3fdbdfe072178	10723	08016281
projectID4000a2d784c00	10728	98000199
projectID3ffb11316f1a0	10731	39019488
projectID3ffb0fa120f92	10732	39019488
projectID3fe54b92b200d	10736	13012909
projectID3fad8108c2a87	10738	17000248
projectID3ffb0e922d64f	10739	39019488
projectID3ffb11ae1253f	10741	39019488
projectID4003bf5501e8f	10742	64058138
projectID3fc7ad4c8811a	10743	62004493
projectID3f9706b387d6a	10744	08033106
projectID3fe9171534cc0	10745	84233040
projectID3fcdee694b077	10747	10019179
projectID3f958e539dcf4	10756	07009473
projectID4001f4d19f3a5	10760	01006929
projectID3ff8e5481b478	10761	06027313
projectID3fe56e6ee545d	10762	46038718
projectID3fc3ddc03c6d4	10765	02008949
projectID400a035f6f798	10777	07013144
projectID3faade6012e0d	10804	74017293
projectID3fe915d2d85db	10807	02027350
projectID3f9f06664b073	10808	24001086
projectID3fae38a42ddba	10809	unk83025623
projectID3fcfea5d76fa1	10810	04029192
projectID400a27b0e2381	10812	00000340
projectID3fc8cb73350e9	10815	56053809
projectID3ff4fbcb5ab95	10817	22023903
projectID3ff4fc70bc744	10817	22023903
projectID3fa92aee6853e	10818	a  23000598
projectID400a274f570f6	10826	07012591
projectID3fb2f6909b983	10827	43030631
projectID3fe3ed6fa4e20	10832	48005230
projectID3ffb066fe6bb7	10833	39019488
projectID400c2da6a0c14	10844	09031678
projectID3fd229e6f37d1	10846	20019087
projectID40032ee906cbd	10853	unk82075179
projectID400d68a680df2	10855	08012198
projectID3fe91a1260bc4	10856	97908674
projectID3fa5b98a99274	10858	56053809
projectID3fc752aa043ae	10861	2002555564
projectID3fc53099302d2	10865	60050046
projectID40135e4d65d30	10868	21012084
projectID400a421080906	10870	07012890
projectID3fa7098edd84b	10877	85213362
projectID40096f7968265	10878	12016762
projectID3fa5ba8aaf20f	10879	56053809
projectID400b67da797c5	10880	07013145
projectID3fac325b6636d	10881	49042260
projectID3fc83363923ba	10882	04027122
projectID3fc833bfec29e	10882	04027122
projectID3fc52c0b55109	10884	77009307
projectID3fe54d44d42e2	10886	19004517
projectID3fe54dbb2bb9e	10886	19004517
projectID3f9f19928a955	10893	56053809
projectID3f9f17c39445a	10894	56053809
projectID3f9f1becd8a1f	10895	56053809
projectID3fc78cc1525ad	10898	a  15001618
projectID3f9588e1262ee	10909	ltf91059897
projectID3fdea1feee9b4	10910	12036144
projectID400c446cb4270	10911	58001043
projectID3fd7483d3ed3a	10913	03014537
projectID3fd66563350ee	10914	32032361
projectID3fa5b86c37e7a	10919	56053809
projectID400a27bf26426	10922	99002126
projectID3f9700eccc327	10926	07025586
projectID3f9af18ccea36	10930	18020780
projectID3f9af1b96f6d0	10930	18020780
projectID3f9af1e215175	10930	18020780
projectID3fe4f0074b764	10932	12009957
projectID3ff38b36918a4	10936	12022563
projectID3ff3908e61c25	10936	12022563
projectID3ff902672e5c0	10942	01031397
projectID3ff902be86b5b	10942	01031397
projectID4016500d9f373	10943	09013428
projectID3ffa15a8d32a2	10944	22023262
projectID3ff1b15bdf4ea	10946	04014558
projectID40120c96c1480	10947	20012376
projectID40165a1d9a54a	10948	08015535
projectID400a27f6bb281	10949	03019537
projectID3fbee2192b4d0	10951	56053809
projectID3fbee3468a819	10951	56053809
projectID4004d562d0e5b	10956	w  10000076
projectID3fa553c6b8e4d	10957	03022833
projectID3fe8d59f3259a	10958	07020110
projectID401627732795c	10960	22006335
projectID4009227922270	10965	27000838
projectID40078373bd95a	10966	10009915
projectID40099eb4c75e2	10968	2002034977
projectID400ed25ebdc19	10970	13009489
projectID3fae64b8b402c	10972	20006831
projectID3ff7b9df7fb51	10973	08015542
projectID3ff7babe11d86	10973	08015542
projectID3ff7bb2858b5d	10973	08015542
projectID3ff4b5143643b	10974	01005818
projectID3ff256cd31f61	10977	21020592
projectID3ff2578e912e4	10977	21020592
projectID4012373b73282	10978	20015343
projectID40061c674a4ec	10986	2001047756
projectID3fa83ebfa07a5	10990	15008458
projectID402519954f449	10999	91218783
projectID4003c8791570c	11007	38029445
projectID40061ec687580	11012	89022919
projectID3fa6e543af802	11013	26021283
projectID3fdd70e6ed077	11014	15016883
projectID400ca76b1f3ab	11015	08008505
projectID3fefc3bf15df1	11016	13008761
projectID3fefc48d9463b	11016	13008761
projectID401cf87a3aa3c	11019	16007543
projectID3fcbe60380bd8	11020	55045715
projectID3fbed957d4171	11021	56053809
projectID4009f1c9941bc	11022	93038597
projectID4009ccfe8f364	11030	99031521
projectID3fc7bc2de747c	11031	04017195
projectID3fbeea4c106fc	11034	56053809
projectID401d94a0237ce	11043	22002220
projectID3fead5ac41cbb	11046	unk84030361
projectID3fa936f8e4d63	11047	17006664
projectID3fa2e8c4b6733	11050	04015095
projectID3fe54c6a37eeb	11051	02022986
projectID4009eed963444	11053	93038597
projectID4009f3a44387f	11056	93038597
projectID40061e644f313	11057	00000113
projectID4019dfbe3f1c0	11062	99004927
projectID401387ce6ab6d	11063	12025423
projectID3fff3c49585f4	11068	90118829
projectID400925c23d022	11069	15009961
projectID3f95853082f48	11070	06039610
projectID3fe3cc7798ac3	11084	22014549
projectID4008d0a2bbf5a	11085	44033120
projectID4008d12b815db	11085	44033120
projectID3ffb9effac6bf	11088	03022570
projectID4009a03b3c347	11089	96209148
projectID4008bbe32226b	11090	22008063
projectID4009d0ec7e1ed	11093	20006637
projectID4009d1613ea4e	11093	20006637
projectID3fa58dd0b1943	11100	12032493
projectID3fd555166854c	11101	08024881
projectID400620680fb65	11102	99004743
projectID4007a6171c73e	11104	20017098
projectID3fe3d084e45b0	11106	08015664
projectID3fe3d114ee1fb	11106	08015664
projectID400ec82d684da	11113	03031250
projectID3f9d9ef648970	11114	08004960
projectID4010253b17260	11116	unk83030269
projectID3fa4013c859f9	11119	02015006
projectID3f820cb58cb8e	11123	14002927
projectID3fbee0394d795	11125	56053809
projectID3feffbe9c5a55	11137	68055916
projectID40244d6d79d20	11141	04018329
projectID402a8d99bcb21	11143	20008035
projectID401b2130c48a8	11144	15026506
projectID3fc79daab4026	11146	97025362
projectID40164b5da689a	11153	03009337
projectID402333cd7368c	11163	20016802
projectID3fb719dd1f15a	11165	21017912
projectID40265c0b73e27	11167	15008584
projectID4026a74aeea1b	11172	unk80000474
projectID3fc8bf016fa63	11175	18016307
projectID3ff1e3c6876a6	11178	96141258
projectID3fb6d0dc4fe94	11179	14002329
projectID40227f2b95974	11192	06034847
projectID3f81c9c1967d1	11197	14016478
projectID3f81ee3519f9f	11197	14016478
projectID3f81ee6a76c01	11197	14016478
projectID3ff47f69b29d3	11198	w  09000339
projectID3fbee9139927a	11202	56053809
projectID400a2340745c1	11214	69018595
projectID4024072ecf456	11216	21015253
projectID3fc8300bc51b3	11217	11009941
projectID3fc8303e80bf9	11217	11009941
projectID3fc8308e57d98	11217	11009941
projectID3fbc57efe7479	11223	16016258
projectID400b4bbb3bbc7	11228	92031334
projectID3fc19d6c859f2	11229	77008905
projectID3fc19f36e4d63	11229	77008905
projectID3fac3142043af	11232	17003729
projectID3f9da05b12e0f	11238	10019948
projectID402e9054dff06	11247	21004129
projectID3fecf72b2cbe6	11251	15002014
projectID40301e56d5769	11252	07026100
projectID40162ba88baf5	11256	09005190
projectID40394cbd5218b	11257	98000330
projectID4038b1b2a042d	11260	26023884
projectID40293599820dc	11266	20002929
projectID4030659658f41	11278	02018027
projectID4031b08c19c09	11279	07017384
projectID3ffb21af20f96	11287	01026131
projectID3faf5b748a819	11289	16012241
projectID3fd7b5cc0dfee	11309	00002786
projectID401c7c1a8b34a	11311	18018958
projectID401c7c8c8b342	11311	18018958
projectID3f8b09aa7e144	11313	02005187
projectID3f9f1ae372172	11314	56053809
projectID40064f802a91d	11319	20023059
projectID402e856812dab	11324	17029334
projectID40293038d02e6	11325	18010698
projectID4010aed08c56c	11328	30012344
projectID4010af77542ef	11328	30012344
projectID3fc7bbef43b44	11329	02002857
projectID40067e2b911bd	11333	96119071
projectID3fb06e370e00b	11339	12029984
projectID3fb0703785cca	11339	12029984
projectID403e40c897758	11345	12024418
projectID3fef7bb2be517	11349	16014621
projectID402e6761636b7	11351	10023651
projectID3fad7d3b525ad	11352	27007380
projectID402e92dad17f7	11353	04007945
projectID400cbb99994c1	11354	05032700
projectID4033931ed4b5c	11355	68083892
projectID402e84aaa556c	11360	19019875
projectID3fa2b6f61b1c3	11366	14002927
projectID400a61394d8ed	11368	unk83006448
projectID4014f2669fb45	11371	09003014
projectID4028a14c08fe5	11372	68057543
projectID4014c41ab0cb4	11373	09028041
projectID4014c4ad42eed	11373	09028041
projectID4014c50376345	11373	09028041
projectID3ffa11a47181b	11379	03014863
projectID3fa9782c8a830	11391	mic60007410
projectID4032b9e0dc813	11395	18017641
projectID3fc01dcd52ff7	11402	22016148
projectID40213e099e416	11403	w  10000116
projectID3fc79f0a7e4d4	11410	22019968
projectID4026eef8b409f	11417	36037648
projectID402e936621803	11418	68020017
projectID40249d39c5812	11421	05039582
projectID3f9d9e36b98ab	11424	15024465
projectID3f8cb5493c274	11431	11003197
projectID3f8db8d0f0d17	11431	11003197
projectID401532f5407d4	11432	28006595
projectID40315422c0801	11436	unk83007920
projectID4030091a2d129	11437	unk83007920
projectID40154b98e6048	11439	unk83005639
