PG num	LCCN
460	06006744
474	72012693
2038	10011468
7479	17029735
7863	19003497
7997	00000087
8946	48025319
9653	41040759
9664	16008225
9746	15021442
9749	15019412
9775	17021974
9778	11014752
9790	04027127
9794	17026784
9806	09024258
9807	22001723
9808	20022232
9809	25007158
9812	16011588
9829	21022333
9832	05012705
9834	20000627
9835	21017370
9836	18006645
9838	99001236
9839	01025042
9844	13004352
9849	11027305
9851	82025246
9852	19003700
9853	83223795
9856	17024857
9858	21004908
9864	22005161
9865	46007190
9867	86006183
9871	08013951
9872	07040278
9873	17005450
9874	16018047
9879	13035198
9888	10022862
9899	17018595
9900	c  98000068
9901	15017760
9902	22019483
9903	78002354
9906	85891300
9908	18002606
9923	19015544
9925	77123498
9928	21013706
9929	05007599
9948	42047088
9949	13002622
9952	18022445
9955	21004141
9963	11015097
9964	a  12000363
9965	04031653
9966	18021686
9967	21014701
9974	22008943
9978	87153538
9989	13026176
9991	23006303
9994	12000285
9995	21000071
10002	75028857
10004	03016392
10012	rc 01000874
10021	82025246
10025	18007293
10029	18005506
10041	15020589
10043	01015732
10046	17026974
10049	72113682
10050	72113682
10051	72113682
10052	72113682
10053	f  01000291
10057	19012254
10062	07012838
10063	04012112
10064	15024858
10065	23002414
10066	76008886
10067	12006864
10068	10016715
10070	unk84177106
10076	21001354
10078	17024530
10080	18012004
10081	86188352
10082	16021060
10083	10007026
10088	11006869
10094	01031062
10095	03017945
10096	15013009
10097	15014700
10099	17029472
10101	18018543
10102	05036289
10103	05007599
10109	22010170
10110	16002214
10111	07028978
10112	84122210
10114	05007599
10122	18013300
10128	05007599
10135	10005056
10139	03020205
10142	21021761
10145	18001401
10146	20000866
10147	19001191
10150	75302887
10151	05007599
10159	19002390
10163	16011051
10165	06044866
10166	16002402
10201	82019117
10210	18018404
10217	03026358
10225	17030365
10226	04016152
10234	07001237
10268	04023767
10291	19003024
10293	05041593
10294	ca 17002801
10321	09009507
10322	06030406
10323	10010700
10327	21019395
10333	16010488
10335	04003707
10337	95118753
10340	04016157
10341	05007599
10355	04019928
10356	04019928
10358	05023032
10368	99004700
10370	07033325
10371	17015545
10373	19015735
10374	20007723
10376	21021358
10387	07033332
10391	85891014
10392	05005949
10394	07018095
10396	07025662
10397	06034368
10398	13005598
10401	14019577
10402	12006862
10410	08002614
10417	unk82059544
10418	11029082
10429	21019675
10431	11021103
10436	22000476
10437	17022912
10438	17010164
10439	07028615
10440	20006289
10441	10009851
10443	22007438
10445	04013624
10447	11000958
10448	74212908
10457	13026674
10464	11006642
10469	a  12000792
10471	41005642
10474	17031650
10477	03006173
10478	03006173
10481	71278620
10484	03006178
10485	13015248
10491	09030867
10496	21009710
10506	28015920
10508	08028060
10509	16004391
10515	18016731
10519	07009472
10522	03006178
10531	03006178
10532	03006178
10533	03006178
10534	15011000
10537	09014415
10541	10004577
10542	75028855
10557	w  10000005
10575	21011495
10579	ltf91077139
10580	06039000
10585	01020325
10586	69014775
10588	14002329
10589	18010171
10592	89003616
10593	17028078
10599	20017180
10601	84024641
10603	ltf90029950
10605	87026428
10607	16015134
10608	03005535
10611	84233329
10613	13019047
10619	02002209
10624	97029663
10627	03006178
10629	10001474
10632	17025070
10633	02019713
10635	unk83073046
10637	05006434
10638	04023117
10639	10030052
10642	22005294
10658	11024362
10659	97029663
10662	75028858
10665	03015210
10668	15021975
10674	22000331
10675	17017652
10679	08030224
10685	20019084
10696	30012327
10707	10023938
10709	75032782
10713	19025949
10714	39019488
10715	39019488
10716	15003060
10723	08016281
10728	98000199
10731	39019488
10732	39019488
10736	13012909
10738	17000248
10739	39019488
10741	39019488
10742	64058138
10743	62004493
10744	08033106
10745	84233040
10747	10019179
10756	07009473
10760	01006929
10761	06027313
10762	46038718
10765	02008949
10777	07013144
10804	74017293
10807	02027350
10808	24001086
10809	unk83025623
10810	04029192
10812	00000340
10815	56053809
10817	22023903
10818	a  23000598
10826	07012591
10827	43030631
10832	48005230
10833	39019488
10844	09031678
10846	20019087
10853	unk82075179
10855	08012198
10856	97908674
10858	56053809
10861	2002555564
10865	60050046
10868	21012084
10870	07012890
10877	85213362
10878	12016762
10879	56053809
10880	07013145
10881	49042260
10882	04027122
10884	77009307
10886	19004517
10893	56053809
10894	56053809
10895	56053809
10898	a  15001618
10909	ltf91059897
10910	12036144
10911	58001043
10913	03014537
10914	32032361
10919	56053809
10922	99002126
10926	07025586
10930	18020780
10932	12009957
10936	12022563
10942	01031397
10943	09013428
10944	22023262
10946	04014558
10947	20012376
10948	08015535
10949	03019537
10951	56053809
10956	w  10000076
10957	03022833
10958	07020110
10960	22006335
10965	27000838
10966	10009915
10968	2002034977
10970	13009489
10972	20006831
10973	08015542
10974	01005818
10977	21020592
10978	20015343
10986	2001047756
10990	15008458
10999	91218783
11007	38029445
11012	89022919
11013	26021283
11014	15016883
11015	08008505
11016	13008761
11019	16007543
11020	55045715
11021	56053809
11022	93038597
11030	99031521
11031	04017195
11034	56053809
11043	22002220
11046	unk84030361
11047	17006664
11050	04015095
11051	02022986
11053	93038597
11056	93038597
11057	00000113
11062	99004927
11063	12025423
11068	90118829
11069	15009961
11070	06039610
11084	22014549
11085	44033120
11088	03022570
11089	96209148
11090	22008063
11093	20006637
11100	12032493
11101	08024881
11102	99004743
11104	20017098
11106	08015664
11113	03031250
11114	08004960
11116	unk83030269
11119	02015006
11123	14002927
11125	56053809
11137	68055916
11141	04018329
11143	20008035
11144	15026506
11146	97025362
11153	03009337
11163	20016802
11165	21017912
11167	15008584
11172	unk80000474
11175	18016307
11178	96141258
11179	14002329
11192	06034847
11197	14016478
11198	w  09000339
11202	56053809
11214	69018595
11216	21015253
11217	11009941
11223	16016258
11228	92031334
11229	77008905
11232	17003729
11238	10019948
11247	21004129
11251	15002014
11252	07026100
11256	09005190
11257	98000330
11260	26023884
11266	20002929
11278	02018027
11279	07017384
11287	01026131
11289	16012241
11309	00002786
11311	18018958
11313	02005187
11314	56053809
11319	20023059
11324	17029334
11325	18010698
11328	30012344
11329	02002857
11333	96119071
11339	12029984
11345	12024418
11349	16014621
11351	10023651
11352	27007380
11353	04007945
11354	05032700
11355	68083892
11360	19019875
11366	14002927
11368	unk83006448
11371	09003014
11372	68057543
11373	09028041
11379	03014863
11391	mic60007410
11395	18017641
11402	22016148
11403	w  10000116
11410	22019968
11417	36037648
11418	68020017
11421	05039582
11424	15024465
11431	11003197
11432	28006595
11436	unk83007920
11437	unk83007920
11439	unk83005639
11441	08003731
11449	35014133
11451	07009550
11452	unk83007920
11454	02000392
11464	70132075
11470	98001041
11484	09000055
11489	84232131
11490	66031730
11493	08023104
11496	00522081
11497	96129287
11499	64057374
11502	a  16000697
11505	08034727
11506	17010115
11509	13015963
11513	16002411
11514	68023722
11520	21019201
11521	79098862
11526	rc 01001714
11534	03013822
11545	01024700
11547	2003053746
11553	unk83028314
11554	16002387
11560	war15000019
11562	36037587
11571	20003076
11572	08023920
11574	19002908
11580	03031485
11581	21026289
11585	45026348
11589	84253725
11600	04000637
11601	04000637
11603	15006323
11605	15005629
11608	09012231
11614	07004160
11618	11016089
11623	01000504
11625	21007335
11627	08033883
11632	09002737
11633	03017921
11643	47030180
11655	12009961
11658	11000511
11663	90104531
11666	68020007
11667	07028135
11668	09022185
11671	08015538
11672	15000395
11673	09006875
11674	21021763
11675	15011035
11677	ltf91065202
11681	22017361
11683	07009842
11686	08006883
11688	04033922
11689	15013348
11690	03003871
11691	17005404
11692	14002927
11693	08033883
11694	01004113
11697	19012982
11698	12016870
11701	11031909
11702	18016736
11703	30005249
11708	01005577
11711	43040643
11713	08033883
11715	17003890
11716	unk83001669
11717	2002554497
11719	08032648
11722	05027543
11725	02000376
11731	22001107
11737	13022882
11749	13006061
11753	04032482
11758	16015029
11760	08033883
11771	2003556075
11774	16016048
11858	15019355
11859	11027409
11867	33017485
11870	a  13002272
11873	49034622
11875	20010053
11876	14018337
11878	16022394
11881	17008585
11883	19012909
11895	13003744
11896	04010754
11897	22005768
11898	14002329
11901	00002931
11902	05003060
11906	16007943
11911	10022827
11912	90955099
11913	06046147
11914	96164940
11917	04003438
11918	00000545
11922	rc 01001079
11924	58008584
11927	02006336
11930	00006497
11931	08020347
11933	04032553
11934	01005431
11935	74105838
11938	10006552
11945	43037704
11949	15007733
11950	20007777
11960	16009066
11961	19004445
11962	08007899
11967	67118605
11969	16017688
11981	08033883
11982	75162284
11984	09009478
11985	10010220
11986	22005816
11987	21004166
11991	08032385
12001	04013986
12014	13020716
12015	11005992
12016	07036661
12019	unk82092757
12020	04032280
12022	17014340
12025	13023174
12026	21006984
12027	unk81057541
12033	20013138
12034	21009745
12035	10006253
12036	17007359
12037	82203971
12041	19004406
12042	11032222
12044	69013828
12045	04027686
12049	16012646
12052	10007633
12057	05033630
12060	14002927
12067	08015667
12068	75084186
12069	07022831
12071	88180024
12075	ltf91065740
12078	01026264
12081	55054174
12083	02012949
12084	17013079
12085	unk80012308
12086	49033059
12089	52045063
12090	13020716
12092	07037991
12096	05020750
12099	85243087
12100	07034775
12101	79112282
12104	00005431
12106	04022860
12111	14022341
12136	04007950
12138	04007949
12139	41042438
12140	13013061
12142	12039906
12143	57052243
12162	04007947
12164	11026406
12170	08020578
12171	14011168
12175	09028213
12176	98001568
12177	14003107
12179	22002739
12181	08034858
12183	01016762
12184	02013095
12190	21012945
12191	98001115
12192	09026672
12194	08032676
12195	06037563
12199	04022070
12216	93012468
12217	15020139
12220	14018743
12225	22018521
12226	10028964
12229	00006868
12234	08028887
12235	12004637
12239	20019048
12243	06014916
12245	84225350
12249	07041432
12252	15024363
12256	99005712
12264	16002130
12265	20012813
12270	01029886
12272	03008353
12277	04015292
12279	02022844
12280	98195784
12281	06009625
12282	33003416
12284	f  01000374
12287	07038536
12288	08017703
12290	08009795
12293	agr13001941
12299	14014612
12300	04017343
12302	17029361
12303	07008854
12304	06018952
12307	32020659
12308	41038149
12314	10019379
12317	99004934
12318	56053809
12320	75326800
12321	28021512
12324	08019738
12326	96166456
12327	88180014
12328	10010265
12329	99001634
12334	00006471
12335	06033387
12337	a  24000617
12342	17029662
12343	52067467
12344	58051908
12346	13020466
12347	76153961
12348	07002909
12349	19002710
12351	14002927
12352	76153097
12353	08006812
12354	08016116
12355	04007946
12357	22026240
12358	unk83019590
12364	10034241
12366	88953763
12368	22016619
12369	02020259
12371	08033484
12375	17007207
12376	12027351
12385	42039361
12388	08030131
12389	75311486
12391	ltf91069554
12402	14000835
12403	06015108
12404	14002329
12405	43039955
12406	21016032
12409	2001529894
12411	01012445
12415	15007604
12416	00003170
12419	11016158
12422	01007671
12425	12024777
12427	08017757
